0,1,2,3,4,5
-0.55,-0.5666667,-0.5666667,0.008333333,0.0,0.004166667
-0.8,-0.775,-0.7916667,0.008333333,0.004166667,0.008333333
-1.108333,-1.116667,-1.133333,0.008333333,0.0,0.008333333
-1.225,-1.25,-1.225,-0.004166667,0.0,0.0
-1.366667,-1.341667,-1.366667,-0.004166667,0.008333333,0.0125
-1.533333,-1.541667,-1.508333,0.0,0.0,-0.004166667
-2.033333,-2.033333,-2.0,0.0,0.008333333,0.004166667
-2.441667,-2.425,-2.416667,0.0125,-0.008333333,0.004166667
-2.608333,-2.616667,-2.616667,0.008333333,0.0,-0.008333333
-2.575,-2.583333,-2.55,-0.004166667,0.008333333,0.0125
-2.791667,-2.791667,-2.766667,0.004166667,0.004166667,0.008333333
-2.95,-2.933333,-2.933333,-0.004166667,-0.004166667,0.004166667
-3.0,-2.983333,-3.0,-0.004166667,0.0,0.004166667
-3.2,-3.216667,-3.2,-0.004166667,0.004166667,0.0125
-3.366667,-3.358333,-3.35,-0.004166667,0.004166667,-0.004166667
-3.433333,-3.425,-3.425,0.0,0.008333333,0.0125
-3.141667,-3.133333,-3.091667,-0.004166667,0.008333333,-0.008333333
-2.833333,-2.825,-2.833333,0.0125,0.008333333,0.0
-3.008333,-3.016667,-3.008333,0.0,-0.004166667,0.008333333
-2.891667,-2.866667,-2.891667,0.0,-0.004166667,-0.004166667
-2.6,-2.583333,-2.616667,0.0125,0.0,-0.004166667
-2.141667,-2.133333,-2.133333,0.0,0.0,-0.004166667
-1.916667,-1.9,-1.908333,-0.004166667,0.0,0.01666667
-1.783333,-1.783333,-1.766667,0.0,0.0,-0.0125
-1.483333,-1.458333,-1.458333,0.0,0.0,0.0
-1.183333,-1.191667,-1.175,0.0,-0.008333333,-0.01666667
-0.7833333,-0.8,-0.7833333,0.0125,0.0,0.008333333
-0.675,-0.6583333,-0.675,0.008333333,-0.004166667,-0.004166667
-0.575,-0.5916667,-0.5833333,0.008333333,-0.004166667,0.004166667
0.08333333,0.06666667,0.1,0.008333333,0.008333333,0.0125
0.5,0.5166667,0.5083333,-0.008333333,0.008333333,-0.008333333
0.525,0.5166667,0.5333333,0.004166667,0.008333333,-0.004166667
0.6583333,0.675,0.6833333,-0.004166667,0.008333333,0.008333333
0.9916667,0.9833333,0.975,0.008333333,0.0,0.008333333
1.216667,1.233333,1.208333,0.01666667,0.004166667,-0.004166667
1.241667,1.283333,1.25,0.008333333,0.0,0.004166667
1.441667,1.425,1.441667,0.008333333,0.004166667,0.0125
1.733333,1.733333,1.7,0.0,0.0,0.004166667
2.333333,2.333333,2.325,0.008333333,0.004166667,-0.008333333
2.441667,2.45,2.475,0.008333333,-0.004166667,0.01666667
2.575,2.583333,2.6,0.0,-0.004166667,0.01666667
2.633333,2.625,2.625,0.0125,0.0,0.004166667
2.908333,2.883333,2.883333,0.0,-0.004166667,0.0
2.975,2.975,2.983333,0.008333333,0.0,-0.004166667
3.041667,3.041667,3.058333,0.008333333,0.0,0.004166667
3.3,3.3,3.308333,0.008333333,0.004166667,0.0
3.3,3.316667,3.325,0.008333333,0.004166667,-0.004166667
3.375,3.375,3.375,0.008333333,-0.008333333,-0.0125
3.325,3.325,3.341667,0.0125,0.008333333,0.004166667
2.783333,2.791667,2.783333,0.008333333,0.0,-0.004166667
2.966667,2.975,2.975,0.0125,0.008333333,-0.004166667
2.925,2.933333,2.941667,0.0,0.008333333,-0.004166667
2.741667,2.733333,2.716667,0.008333333,0.004166667,0.0
2.358333,2.35,2.341667,0.008333333,-0.004166667,0.0
1.958333,1.966667,1.958333,0.008333333,0.0,0.0125
1.858333,1.85,1.858333,0.008333333,0.008333333,-0.004166667
1.658333,1.65,1.65,-0.008333333,0.0,0.0125
1.333333,1.35,1.341667,-0.004166667,-0.004166667,-0.004166667
1.0,1.008333,1.008333,0.0,0.004166667,0.0
0.575,0.5916667,0.5916667,0.0125,0.0,0.004166667
0.8333333,0.8666667,0.8583333,0.008333333,-0.008333333,0.0125
0.1416667,0.125,0.125,-0.004166667,-0.008333333,0.0125
-0.3583333,-0.35,-0.3666667,0.008333333,-0.004166667,0.0125
-0.525,-0.5083333,-0.5,0.008333333,-0.008333333,-0.004166667
